"logFC"	"logCPM"	"LR"	"PValue"	"FDR"
"Flrt3"	2.57075267730514	-0.673284051118216	22.6592520250104	1.93426580733058e-06	0.000127763885390026
"Cdcp1"	2.39427783030212	-1.36333893914026	14.4503638817909	0.000143902051900932	0.00329628113014905
"Ramp3"	2.30665346351677	-0.422322776509184	19.2234586267136	1.16275724401729e-05	0.000485480315528825
"Scin"	2.28910640097742	-0.809803874228705	25.9393688895414	3.5231029271175e-07	3.50702539401636e-05
"Prkar1b"	2.25226732121126	-1.7044048996791	10.4316101986215	0.00123876696627723	0.0150875773726878
"Cebpa"	2.12355476510309	-1.35108276189125	11.2269438331204	0.000806182911390628	0.0112200529161657
"Nme4"	2.11964319655223	-1.91870125941899	15.0596013799716	0.000104169007468507	0.00252024397138922
"Fabp4"	2.05244668769618	0.193208860216645	15.7278506920683	7.31393140411647e-05	0.0019678258545041
"Snord17"	2.05071809901178	4.97370196025415	13.7460674574255	0.000209258458383544	0.00434672644668912
"Cdk18"	2.01919658121126	-1.37377855102543	9.03800126853326	0.0026442458065851	0.0255303670915765
"Gdf15"	1.96461364307525	-1.1218144567877	7.25086123028851	0.00708670155617737	0.0496745548721607
"LOC115490316"	1.86912454006842	-0.957329496451735	9.23967067324576	0.00236827542901572	0.0236713774666392
"Timp3"	1.86668693526512	-1.31761635709235	12.1343808001941	0.000495007013670927	0.00801513302032147
"Fut4"	1.86592254456312	-1.35199426615814	14.0269530455035	0.00018020891027195	0.00389226303777685
"Pcgf2"	1.85745402118567	-1.67523292358864	7.48245190377272	0.00623031733064598	0.0455917487875747
"Mmp25"	1.85119770892445	1.01233449799149	25.6515673224179	4.089631954309e-07	3.92730502443028e-05
"Parvb"	1.84082479884523	0.69205992782342	21.3199177691191	3.88672090789414e-06	0.000222577173459406
"Trim2"	1.80455020118444	-1.31691330552501	8.05542309633251	0.00453676470103792	0.0370660801883229
"Apobr"	1.78897491692557	-1.36148472508438	9.21062501726323	0.00240614531208462	0.0239731189753108
"Tnfrsf1a"	1.7342804530345	-0.984592783779063	7.97732163396941	0.00473669697996935	0.0378586843145867
"Gpr35"	1.717459372775	-1.63380193060993	8.19332353369806	0.00420448283819849	0.0354363953814448
"Mtln"	1.71024870413031	-0.172668788318034	16.6688000104934	4.45070087538053e-05	0.00136182719922183
"Adam11"	1.70900227437559	0.173024272101676	19.7738678590241	8.71663206945577e-06	0.000398602325110204
"Gpc1"	1.67585276419736	-0.0306886797478319	10.5018465748843	0.0011925530592058	0.0147731563139557
"Nostrin"	1.65429438615939	-0.359833295485778	15.8695016023587	6.78635726296643e-05	0.00185963610121608
"Serf1"	1.63583535490581	-1.03209911159756	11.8171799947059	0.000586866784615023	0.00896749686552503
"Fcna"	1.63010959267829	-0.431660520764929	9.53445552444137	0.00201649986114677	0.021328168955769
"Mmp12"	1.55762942701311	-0.190559734524953	8.14403100025712	0.00432031356545765	0.0359805167119235
"Tmem51"	1.53080408424777	0.354722666141342	13.4583424478667	0.000243919157465378	0.00478787226697764
"Pparg"	1.52686629457916	-1.58065025874014	8.70925912767691	0.00316597849313344	0.0286198953716712
"Slc11a1"	1.49872446120349	1.12658810617536	12.208655150426	0.000475683123036928	0.00778299883092137
"Ston2"	1.49283251704196	0.207711190148135	16.0189190873567	6.2712667528593e-05	0.00174755567282803
"Cttnbp2nl"	1.48493883108697	-0.608170104218324	13.3638271818835	0.00025652428136679	0.00496379380822307
"Cd300c2"	1.48230916569624	-0.884778624487323	7.51836784687448	0.0061072991684523	0.0449973330841902
"Ccl4"	1.48126392791788	1.14330992363527	18.9220006894725	1.36173167247595e-05	0.00055015722327475
"Pla2g7"	1.46516376922041	-0.366161741832551	15.7127738729337	7.37245997755729e-05	0.00197083062869005
"Strip2"	1.45319373987271	0.899812230588897	16.5330078466684	4.78104972108258e-05	0.00140770341316026
"Shtn1"	1.4428033666656	-0.516894574287146	12.4008881781238	0.000429129689535202	0.00730866991017389
"Fcer1g"	1.43449780981993	0.960606913023296	16.1671258677594	5.79918548980524e-05	0.00166048237740203
"Cacnb3"	1.43276911031006	1.86357528017528	21.6657906744867	3.24527436592292e-06	0.000192923834210389
"Tlr13"	1.42945323634087	-0.203463498551059	7.97806811054239	0.00473474420090559	0.0378586843145867
"Cables1"	1.4144559944778	0.0433431001539689	13.1855543273537	0.000282115353352924	0.00528052244862
"Prr5l"	1.40997846443686	-0.0570385798095657	13.4900034241513	0.000239837757885308	0.00474506270909697
"Emp1"	1.40813814131384	-0.749290644664113	7.6656238614401	0.00562827964524837	0.0426355844000489
"Tmem176b"	1.39948994148727	0.255200833847343	13.2164579081497	0.000277501557792376	0.00522523295245855
"LOC115488051"	1.39243047697808	1.84956446963624	12.8572588482598	0.000336172666754891	0.00606471036382668
"Arpin"	1.36883414664929	-1.45507546113966	8.79595909770259	0.00301898489070396	0.0278147655908105
"Cyp1a1"	1.36452382174154	2.12489667392419	15.2994331057327	9.17440395648718e-05	0.00229066517985572
"Id2"	1.36107773808112	2.38338494103814	31.0884396523296	2.46535313946978e-08	4.10366247908543e-06
"Apol7c"	1.34617868241442	1.63402702269332	14.2943595383258	0.00015633262089067	0.00348510078428415
"Basp1"	1.34375971688732	0.0948197423600643	13.2317499154082	0.000275246721624911	0.00520633344358392
"Ccl22"	1.34348652609473	4.45248328436506	8.56842959823215	0.00342042052008769	0.0301132085844674
"Ccl5"	1.33410879595129	-0.122307799591877	9.77745083469363	0.00176665075988413	0.0195175823773393
"Fblim1"	1.32645877406025	0.0164805145890813	9.49574925072717	0.00205948465934848	0.0215874109885024
