"logFC"	"logCPM"	"LR"	"PValue"	"FDR"
"Slc16a9"	2.66292884755032	-1.60732274662708	11.9976061474045	0.000532689309012235	0.0192897822882877
"Rusc2"	2.31378553162966	-1.61996796909988	18.9098802740249	1.37041067985186e-05	0.00122201478051933
"Cebpa"	2.2206253287245	-1.35108276189125	13.7068500396767	0.000213673707808127	0.0104199319073307
"Cd300ld"	2.14568358826729	-1.22055743328798	14.2881617231912	0.000156848212450245	0.008403832979523
"Adap2"	2.14517085012088	-0.617003751854683	9.76693455029435	0.00177678455955069	0.0424118134635387
"Fcgr3"	1.98335101145311	-0.994584862590583	18.5089508335655	1.69108250512169e-05	0.00144616644779261
"Trem2"	1.92461781818879	-1.43017630855093	11.2123684067667	0.000812539518138631	0.0257951130737543
"Fabp4"	1.87352007284685	0.193208860216645	15.9245939581071	6.59166050239679e-05	0.00449212199806029
"Parvb"	1.8264175359471	0.69205992782342	22.7291812150349	1.8651386589765e-06	0.000294739126818515
"Clec7a"	1.78597564419712	1.44094288605582	14.515662859608	0.000138999041460969	0.00778145306546519
"Phlda3"	1.77874606825635	-1.55381041979707	12.3020340901592	0.000452464918100041	0.0171689119682703
"Arhgef17"	1.74124285102439	-1.54036621818184	10.7550339045998	0.0010399606203995	0.0298832325261559
"Slamf8"	1.7358257916667	-0.853196457242413	11.2594993759857	0.000792165725505737	0.0254226141830684
"Scin"	1.71478616387674	-0.809803874228705	14.4705667020417	0.000142366788421044	0.00793440619039428
"Cd300lb"	1.71410633267606	-1.13194210954814	11.0249031932493	0.00089895973313561	0.0272393526904489
"Flrt3"	1.67542017145428	-0.673284051118216	11.0770137767196	0.000874044457688812	0.0268097567808037
"Nphp1"	1.66399830423718	-0.952910205292117	15.6146154773702	7.76520619953567e-05	0.00512914466640229
"Cd300a"	1.64734645330478	0.0131016668844568	9.91936337258747	0.00163548942483058	0.0403139764000643
"Acvr1"	1.63646304151047	-1.19931244361645	9.53216457896346	0.0020190185296727	0.046079391817978
"Cyp1a1"	1.5772982884583	2.12489667392419	19.7816963595856	8.68100260052256e-06	0.000888308495614128
"Ms4a6d"	1.54378305037793	-0.926620049359591	13.069045191411	0.000300216131861706	0.0133801310211588
"C1qa"	1.53470697104302	1.52160046160839	16.0050105887281	6.31750645329751e-05	0.00438154169794256
"Cd4"	1.50542287065062	-0.674658425051167	13.3017053812229	0.000265164822215858	0.0123060135336163
"Fasl"	1.47458454380695	-0.785010217997151	14.8750271221463	0.000114873720443863	0.00699552939522528
"Fyb"	1.46418564551005	0.407422383116003	12.088055696939	0.000507458650045262	0.018632687609309
"Ptpn3"	1.45716057397458	1.05825100725636	14.1061354742761	0.000172779288127362	0.00910116722777212
"Ncs1"	1.45702037652172	-0.674461871578574	13.0060778688927	0.000310481572517055	0.0136001822852734
"Tgm2"	1.39770832617867	1.15098063334406	14.7396932689594	0.000123420361359774	0.00731904333633335
